"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"169","147A","122A","OC","OC",3,0,0,0,0,0
"170","147A","126B","OC","OC",3,0,0,0,0,0
"171","147A","135A","OC","OE",3,0,0,0,0,0
"172","147A","135B","OC","OE",3,0,0,0,0,0
"173","147A","137B","OC","OA",3,0,0,0,0,0
"174","147A","144A","OC","OA",3,0,0,0,0,0
"175","147A","145B","OC","OA",3,0,0,0,0,0
"176","147A","147A","OC","OC",3,0,0,0,0,0
"177","147A","149A","OC","OE",3,0,0,0,0,0
"178","147A","152A","OC","OA",3,0,0,0,0,0
"179","147A","152B","OC","OA",3,0,0,0,0,0
"180","147A","154C","OC","OA",3,0,0,0,0,0
"181","147A","157B","OC","OC",3,0,0,0,0,0
"182","147A","158","OC","OC",3,0,0,0,0,0
"183","147A","159","OC","OE",3,0,0,0,0,0
"184","147A","165A","OC","OC",3,0,0,0,0,0
"185","147A","168A","OC","OE",3,0,0,0,0,0
"186","147A","170C","OC","OC",3,0,0,0,0,0
"187","147A","41","OC","CC",3,0,0,0,0,0
"188","147A","53","OC","CC",3,0,0,0,0,0
"189","147A","57","OC","CC",3,0,0,0,0,0
"190","147A","67","OC","CC",3,0,0,0,0,0
"191","147A","74","OC","CC",3,0,0,0,0,0
"192","147A","77","OC","CC",3,0,0,0,0,0
"193","149A","122A","OE","OC",3,1.606,1.795,1.26215807250914,0.728707302923014,3.13537446611007
"194","149A","126B","OE","OC",3,1.726,2.225,1.53844174410343,0.888219755090672,3.82170115385828
"195","149A","135A","OE","OE",3,0,0,0,0,0
"196","149A","135B","OE","OE",3,2.05666666666667,2.373,0.562692041291979,0.324870401510784,1.39780451987518
"197","149A","137B","OE","OA",3,0,0,0,0,0
"198","149A","144A","OE","OA",3,0,0,0,0,0
"199","149A","145B","OE","OA",3,0,0,0,0,0
"200","149A","147A","OE","OC",3,1.538,2.08,1.13100132625917,0.652983920169555,2.80956304660004
"201","149A","149A","OE","OE",3,0,0,0,0,0
"202","149A","152A","OE","OA",3,0,0,0,0,0
"203","149A","152B","OE","OA",3,0,0,0,0,0
"204","149A","154C","OE","OA",3,0,0,0,0,0
"205","149A","157B","OE","OC",3,1.197,1.486,0.845397539622632,0.488090497073374,2.10008390959753
"206","149A","158","OE","OC",3,1.538,2.061,1.1476571787777,0.662600181104714,2.85093847796269
"207","149A","159","OE","OE",3,2.13133333333333,1.878,0.821825610049561,0.474481237189042,2.04152799040634
"208","149A","165A","OE","OC",3,1.18233333333333,1.574,0.798159340816941,0.460817510276875,1.98273771850915
"209","149A","168A","OE","OE",3,2.04233333333333,2.149,0.465262649836986,0.268619516127262,1.15577649432895
"210","149A","170C","OE","OC",3,1.511,1.948,1.11094869368482,0.641406527354792,2.75974954580222
"211","149A","41","OE","CC",3,2.31866666666667,2.144,1.02126457557938,0.589627377624584,2.53696184587143
"212","149A","53","OE","CC",3,1.50466666666667,1.98,1.33219568132213,0.769143535224588,3.30935753140323
"213","149A","57","OE","CC",3,1.76766666666667,2.007,1.66098294191522,0.958968948634128,4.1261103645856
"214","149A","67","OE","CC",3,0.906666666666667,0,1.57039273219578,0.906666666666667,3.90107180830618
"215","149A","74","OE","CC",3,2.85366666666667,2.762,0.658304134373568,0.380072069189223,1.63531812599854
"216","149A","77","OE","CC",3,1.59666666666667,0.975,1.09935177870113,0.63471104536719,2.73094121195128
"217","152A","122A","OA","OC",3,0,0,0,0,0
"218","152A","126B","OA","OC",3,0,0,0,0,0
"219","152A","135A","OA","OE",3,2.74166666666667,2.786,0.446155055259193,0.257587741254207,1.10831059805741
"220","152A","135B","OA","OE",3,2.93633333333333,2.886,0.410819100497206,0.237186518260302,1.02053122025246
"221","152A","137B","OA","OA",3,0,0,0,0,0
"222","152A","144A","OA","OA",3,0,0,0,0,0
"223","152A","145B","OA","OA",3,0,0,0,0,0
"224","152A","147A","OA","OC",3,0,0,0,0,0
"225","152A","149A","OA","OE",3,1.59033333333333,2.301,1.37985880920235,0.796661854936654,3.42775930483047
"226","152A","152A","OA","OA",3,0,0,0,0,0
"227","152A","152B","OA","OA",3,0,0,0,0,0
"228","152A","154C","OA","OA",3,0,0,0,0,0
"229","152A","157B","OA","OC",3,0,0,0,0,0
"230","152A","158","OA","OC",3,0,0,0,0,0
"231","152A","159","OA","OE",3,2.91466666666667,2.976,0.36587611746783,0.211238674910107,0.908886661230631
"232","152A","165A","OA","OC",3,0,0,0,0,0
"233","152A","168A","OA","OE",3,0,0,0,0,0
"234","152A","170C","OA","OC",3,0,0,0,0,0
"235","152A","41","OA","CC",3,0,0,0,0,0
"236","152A","53","OA","CC",3,0,0,0,0,0
"237","152A","57","OA","CC",3,0,0,0,0,0
"238","152A","67","OA","CC",3,0,0,0,0,0
"239","152A","74","OA","CC",3,0,0,0,0,0
"240","152A","77","OA","CC",3,0,0,0,0,0
"241","152B","122A","OA","OC",1,0,0,NA,NA,NA
"242","152B","126B","OA","OC",1,0,0,NA,NA,NA
"243","152B","135A","OA","OE",1,3.104,3.104,NA,NA,NA
"244","152B","135B","OA","OE",1,2.839,2.839,NA,NA,NA
"245","152B","137B","OA","OA",1,0,0,NA,NA,NA
"246","152B","144A","OA","OA",1,0,0,NA,NA,NA
"247","152B","145B","OA","OA",1,0,0,NA,NA,NA
"248","152B","147A","OA","OC",1,0,0,NA,NA,NA
"249","152B","149A","OA","OE",1,2.428,2.428,NA,NA,NA
"250","152B","152A","OA","OA",1,0,0,NA,NA,NA
"251","152B","152B","OA","OA",1,0,0,NA,NA,NA
"252","152B","154C","OA","OA",1,0,0,NA,NA,NA
"253","152B","157B","OA","OC",1,0,0,NA,NA,NA
"254","152B","158","OA","OC",1,0,0,NA,NA,NA
"255","152B","159","OA","OE",1,3.966,3.966,NA,NA,NA
"256","152B","165A","OA","OC",1,0,0,NA,NA,NA
"257","152B","168A","OA","OE",1,0,0,NA,NA,NA
"258","152B","170C","OA","OC",1,0,0,NA,NA,NA
"259","152B","41","OA","CC",1,0,0,NA,NA,NA
"260","152B","53","OA","CC",1,0,0,NA,NA,NA
"261","152B","57","OA","CC",1,0,0,NA,NA,NA
"262","152B","67","OA","CC",1,0,0,NA,NA,NA
"263","152B","74","OA","CC",1,0,0,NA,NA,NA
"264","152B","77","OA","CC",1,0,0,NA,NA,NA
