"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"272",0,"152B","147A",5,0,0,0,0,0
"273",0,"152B","149A",5,0,0,0,0,0
"274",0,"152B","152A",5,0,0,0,0,0
"275",0,"152B","152B",5,0,0,0,0,0
"276",0,"152B","154C",5,0,0,0,0,0
"277",0,"152B","157B",5,0,0,0,0,0
"278",0,"152B","158",5,0,0,0,0,0
"279",0,"152B","159",5,0,0,0,0,0
"280",0,"152B","165A",5,0,0,0,0,0
"281",0,"152B","168A",5,0,0,0,0,0
"282",0,"152B","170C",5,0,0,0,0,0
"283",0,"152B","41",5,0,0,0,0,0
"284",0,"152B","53",5,0,0,0,0,0
"285",0,"152B","57",5,0,0,0,0,0
"286",0,"152B","67",5,0,0,0,0,0
"287",0,"152B","74",5,0,0,0,0,0
"288",0,"152B","77",5,0,0,0,0,0
"289",0,"154C","122A",5,0,0,0,0,0
"290",0,"154C","126B",5,0,0,0,0,0
"291",0,"154C","135A",5,0,0,0,0,0
"292",0,"154C","135B",5,0,0,0,0,0
"293",0,"154C","137B",5,0,0,0,0,0
"294",0,"154C","144A",5,0,0,0,0,0
"295",0,"154C","145B",5,0,0,0,0,0
"296",0,"154C","147A",5,0,0,0,0,0
"297",0,"154C","149A",5,0,0,0,0,0
"298",0,"154C","152A",5,0,0,0,0,0
"299",0,"154C","152B",5,0,0,0,0,0
"300",0,"154C","154C",5,0,0,0,0,0
"301",0,"154C","157B",5,0,0,0,0,0
"302",0,"154C","158",5,0,0,0,0,0
"303",0,"154C","159",5,0,0,0,0,0
"304",0,"154C","165A",5,0,0,0,0,0
"305",0,"154C","168A",5,0,0,0,0,0
"306",0,"154C","170C",5,0,0,0,0,0
"307",0,"154C","41",5,0,0,0,0,0
"308",0,"154C","53",5,0,0,0,0,0
"309",0,"154C","57",5,0,0,0,0,0
"310",0,"154C","67",5,0,0,0,0,0
"311",0,"154C","74",5,0,0,0,0,0
"312",0,"154C","77",5,0,0,0,0,0
"313",0,"157B","122A",5,0,0,0,0,0
"314",0,"157B","126B",5,0,0,0,0,0
"315",0,"157B","135A",5,0,0,0,0,0
"316",0,"157B","135B",5,0,0,0,0,0
"317",0,"157B","137B",5,0,0,0,0,0
"318",0,"157B","144A",5,0,0,0,0,0
"319",0,"157B","145B",5,0,0,0,0,0
"320",0,"157B","147A",5,0,0,0,0,0
"321",0,"157B","149A",5,0,0,0,0,0
"322",0,"157B","152A",5,0,0,0,0,0
"323",0,"157B","152B",5,0,0,0,0,0
"324",0,"157B","154C",5,0,0,0,0,0
"325",0,"157B","157B",5,0,0,0,0,0
"326",0,"157B","158",5,0,0,0,0,0
"327",0,"157B","159",5,0,0,0,0,0
"328",0,"157B","165A",5,0,0,0,0,0
"329",0,"157B","168A",5,0,0,0,0,0
"330",0,"157B","170C",5,0,0,0,0,0
"331",0,"157B","41",5,0,0,0,0,0
"332",0,"157B","53",5,0,0,0,0,0
"333",0,"157B","57",5,0,0,0,0,0
"334",0,"157B","67",5,0,0,0,0,0
"335",0,"157B","74",5,0,0,0,0,0
"336",0,"157B","77",5,0,0,0,0,0
"337",0,"158","122A",5,0,0,0,0,0
"338",0,"158","126B",5,0,0,0,0,0
"339",0,"158","135A",5,0,0,0,0,0
"340",0,"158","135B",5,0,0,0,0,0
"341",0,"158","137B",5,0,0,0,0,0
"342",0,"158","144A",5,0,0,0,0,0
"343",0,"158","145B",5,0,0,0,0,0
"344",0,"158","147A",5,0,0,0,0,0
"345",0,"158","149A",5,0,0,0,0,0
"346",0,"158","152A",5,0,0,0,0,0
"347",0,"158","152B",5,0,0,0,0,0
"348",0,"158","154C",5,0,0,0,0,0
"349",0,"158","157B",5,0,0,0,0,0
"350",0,"158","158",5,0,0,0,0,0
"351",0,"158","159",5,0,0,0,0,0
"352",0,"158","165A",5,0,0,0,0,0
"353",0,"158","168A",5,0,0,0,0,0
"354",0,"158","170C",5,0,0,0,0,0
"355",0,"158","41",5,0,0,0,0,0
"356",0,"158","53",5,0,0,0,0,0
"357",0,"158","57",5,0,0,0,0,0
"358",0,"158","67",5,0,0,0,0,0
"359",0,"158","74",5,0,0,0,0,0
"360",0,"158","77",5,0,0,0,0,0
"361",0,"159","122A",5,0,0,0,0,0
"362",0,"159","126B",5,0,0,0,0,0
"363",0,"159","135A",5,0,0,0,0,0
"364",0,"159","135B",5,0,0,0,0,0
"365",0,"159","137B",5,0,0,0,0,0
"366",0,"159","144A",5,0,0,0,0,0
"367",0,"159","145B",5,0,0,0,0,0
"368",0,"159","147A",5,0,0,0,0,0
"369",0,"159","149A",5,0,0,0,0,0
"370",0,"159","152A",5,0,0,0,0,0
"371",0,"159","152B",5,0,0,0,0,0
"372",0,"159","154C",5,0,0,0,0,0
"373",0,"159","157B",5,0,0,0,0,0
"374",0,"159","158",5,0,0,0,0,0
"375",0,"159","159",5,0,0,0,0,0
"376",0,"159","165A",5,0,0,0,0,0
"377",0,"159","168A",5,0,0,0,0,0
"378",0,"159","170C",5,0,0,0,0,0
"379",0,"159","41",5,0,0,0,0,0
"380",0,"159","53",5,0,0,0,0,0
"381",0,"159","57",5,0,0,0,0,0
"382",0,"159","67",5,0,0,0,0,0
"383",0,"159","74",5,0,0,0,0,0
"384",0,"159","77",5,0,0,0,0,0
"385",0,"165A","122A",5,0,0,0,0,0
"386",0,"165A","126B",5,0,0,0,0,0
"387",0,"165A","135A",5,0,0,0,0,0
"388",0,"165A","135B",5,0,0,0,0,0
"389",0,"165A","137B",5,0,0,0,0,0
"390",0,"165A","144A",5,0,0,0,0,0
"391",0,"165A","145B",5,0,0,0,0,0
"392",0,"165A","147A",5,0,0,0,0,0
