"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"190","126B","157B",39,5,0.11922,0.1197,0.00382191051700586,0.00170921034398929,0.00474552869332251
"191","126B","157B",48,5,0.15382,0.1544,0.0020462160198767,0.000915095623418671,0.00254071276442869
"192","126B","157B",62,5,0.1938,0.1942,0.00504826702938741,0.00225765364925624,0.00626825142370941
"193","126B","158",0,5,0,0,0,0,0
"194","126B","158",24,5,0.01902,0.0196,0.00140960987510729,0.00063039670049898,0.00175026183343323
"195","126B","158",39,5,0.10404,0.103,0.0029466930617219,0.00131780119896743,0.00365880268849691
"196","126B","158",48,5,0.13958,0.1408,0.00211471038206181,0.000945727233402951,0.00262575974803387
"197","126B","158",62,5,0.18542,0.1867,0.00339955879490266,0.00152032891178192,0.0042211097654076
"198","126B","159",0,5,0,0,0,0,0
"199","126B","159",24,5,0.05278,0.0541,0.00442797922307682,0.00198025250915129,0.00549806238608876
"200","126B","159",39,5,0.12,0.1203,0.00110227038425243,0.000492950301754651,0.00136864945241248
"201","126B","159",48,5,0.1472,0.1477,0.00232916293977042,0.00104163333279998,0.00289203776826337
"202","126B","159",62,5,0.18192,0.18,0.00554409595876551,0.00247939508751631,0.00688390435458611
"203","126B","165A",0,5,0,0,0,0,0
"204","126B","165A",24,5,0.04,0.0398,0.00364691650576209,0.00163095064303001,0.00452824492965986
"205","126B","165A",39,5,0.1013,0.1008,0.00427024589455923,0.00190971202017477,0.00530221059075163
"206","126B","165A",48,5,0.14036,0.1418,0.00474162419430305,0.00212051880444386,0.00588750405507803
"207","126B","165A",62,5,0.17852,0.1775,0.00434591762462199,0.00194355344665384,0.00539616945365234
"208","126B","168A",0,5,0,0,0,0,0
"209","126B","168A",24,5,-0.00282,-0.0026,0.00266964417104602,0.001193901168439,0.00331480105520238
"210","126B","168A",39,5,0.09222,0.0924,0.00479551874149189,0.00214462117867002,0.00595442297402191
"211","126B","168A",48,5,0.12492,0.1248,0.00579629191811455,0.00259218054926735,0.00719704699780227
"212","126B","168A",62,5,0.1674,0.1669,0.00514344242701325,0.00230021738103163,0.00638642728845615
"213","126B","170C",0,5,0,0,0,0,0
"214","126B","170C",24,5,0.0348,0.0271,0.0185853436879709,0.00831161837429992,0.023076752151597
"215","126B","170C",39,5,0.12512,0.1189,0.0153870724960923,0.00688130801519595,0.0191055739561491
"216","126B","170C",48,5,0.14718,0.1424,0.012010703559742,0.00537134992343638,0.0149132582032295
"217","126B","170C",62,5,0.18704,0.1858,0.00990217147902419,0.00442838571039154,0.0122951698295445
"218","126B","41",0,5,0,0,0,0,0
"219","126B","41",24,5,0.02382,0.0241,0.00587681886738055,0.00262819329578325,0.00729703441159105
"220","126B","41",39,5,0.10754,0.1058,0.00651943249063904,0.00291557884475793,0.00809494461234639
"221","126B","41",48,5,0.14692,0.1466,0.00712123584780058,0.00318471348789809,0.00884218217493204
"222","126B","41",62,5,0.18008,0.1789,0.00534855120570047,0.00239194481541694,0.00664110347466761
"223","126B","50% TY",0,5,0,0,0,0,0
"224","126B","50% TY",24,5,0.05346,0.0469,0.0226197480092065,0.0101158588365002,0.0280861267514729
"225","126B","50% TY",39,5,0.12552,0.1232,0.0113761592815853,0.00508757309529799,0.0141253674177761
"226","126B","50% TY",48,5,0.15334,0.1526,0.00711463280851514,0.00318176051895802,0.00883398341877258
