"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"147A_50_TY_2","50_TY",NA,"147A","OC","147A_50_TY",2,6.5343,0.2256,0.2256,1.14376985620389,1.02545454545455
"147A_50_TY_3","50_TY",NA,"147A","OC","147A_50_TY",3,6.2743,0.2033,0.2033,1.11049557522124,0.943825441039926
"147A_50_TY_4","50_TY",NA,"147A","OC","147A_50_TY",4,6.6002,0.2257,0.2257,1.11453153099908,1.07527393997142
"147A_50_TY_5","50_TY",NA,"147A","OC","147A_50_TY",5,6.8343,0.2227,0.2227,1.1855533293435,1.04652255639098
"137B_50_TY_1","50_TY",NA,"137B","OA","137B_50_TY",1,7.8433,0.2623,0.2623,1.33278390456932,1.18956916099773
"137B_50_TY_2","50_TY",NA,"137B","OA","137B_50_TY",2,7.30475,0.2294,0.2294,1.21298041397176,1.01955555555556
"137B_50_TY_3","50_TY",NA,"137B","OA","137B_50_TY",3,8.0164,0.2644,0.2644,1.35013052631579,1.16939407341884
"137B_50_TY_4","50_TY",NA,"137B","OA","137B_50_TY",4,7.54765,0.2476,0.2476,1.24886656959428,1.08883025505717
"137B_50_TY_5","50_TY",NA,"137B","OA","137B_50_TY",5,7.45735,0.2667,0.2667,1.14891961637715,1.17127799736495
"158_50_TY_1","50_TY",NA,"158","OC","158_50_TY",1,4.91485,0.1866,0.1866,0.874186261605776,0.891117478510029
"158_50_TY_2","50_TY",NA,"158","OC","158_50_TY",2,4.63255,0.1749,0.1749,0.736752123159134,0.821898496240602
"158_50_TY_3","50_TY",NA,"158","OC","158_50_TY",3,4.73015,0.1768,0.1768,0.800275773392097,0.833962264150943
"158_50_TY_4","50_TY",NA,"158","OC","158_50_TY",4,3.85195,0.1752,0.1752,0.618459290657162,0.802933088909258
"158_50_TY_5","50_TY",NA,"158","OC","158_50_TY",5,4.28505,0.1896,0.1896,0.621233318594014,0.849843119677275
"152A_50_TY_1","50_TY",NA,"152A","OA","152A_50_TY",1,7.1435,0.2206,0.2206,1.19496487119438,0.964160839160839
"152A_50_TY_2","50_TY",NA,"152A","OA","152A_50_TY",2,7.6974,0.2622,0.2622,1.21633601175662,1.10029374737726
"152A_50_TY_3","50_TY",NA,"152A","OA","152A_50_TY",3,7.26935,0.2607,0.2607,1.16323558827059,1.13644289450741
"152A_50_TY_4","50_TY",NA,"152A","OA","152A_50_TY",4,7.244,0.2567,0.2567,1.09349998490475,1.03092369477912
"152A_50_TY_5","50_TY",NA,"152A","OA","152A_50_TY",5,7.46215000000001,0.2568,0.2568,1.14349308508601,1.05592105263158
"170C_50_TY_1","50_TY",NA,"170C","OC","170C_50_TY",1,5.98255,0.232,0.232,1.16509893277245,1.08108108108108
"170C_50_TY_2","50_TY",NA,"170C","OC","170C_50_TY",2,6.5156,0.2508,0.2508,1.12805685644786,1.08665511265165
"170C_50_TY_3","50_TY",NA,"170C","OC","170C_50_TY",3,5.9267,0.2185,0.2185,1.2887492389319,1.08382936507937
"170C_50_TY_4","50_TY",NA,"170C","OC","170C_50_TY",4,5.41685,0.2149,0.2149,1.05760670076926,1.00844673862037
"170C_50_TY_5","50_TY",NA,"170C","OC","170C_50_TY",5,5.89779999999999,0.2171,0.2171,1.25054068953819,1.06893156080748
"145B_50_TY_1","50_TY",NA,"145B","OA","145B_50_TY",1,5.71785,0.2044,0.2044,0.902516790441091,0.989351403678606
