"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"122A_100_TY_3","100_TY",NA,"122A","OC","122A_100_TY",3,7.98435,0.3141,0.3141,0.00536875,48,0.2139,1.217859839385,1.41934026208766,1.47510017172295
"122A_100_TY_4","100_TY",NA,"122A","OC","122A_100_TY",4,8.5392,0.3202,0.3202,0.00519375,48,0.2231,1.35591282600929,1.41368653421634,1.43523316062176
"122A_100_TY_5","100_TY",NA,"122A","OC","122A_100_TY",5,8.4373,0.3187,0.3187,0.00523541666666667,48,0.2286,1.33015402563415,1.37193284545846,1.40863228699552
"149A_100_TY_1","100_TY",NA,"149A","OE","149A_100_TY",1,6.8142,0.2609,0.2609,0.0047875,48,0.2035,1.05877143234488,1.15904042647712,1.31766055045872
"149A_100_TY_2","100_TY",NA,"149A","OE","149A_100_TY",2,6.9948,0.2808,0.2808,0.00516875,48,0.2001,1.11558918987887,1.23918799646955,1.41690462592804
"149A_100_TY_3","100_TY",NA,"149A","OE","149A_100_TY",3,7.27665,0.2899,0.2899,0.00525833333333333,48,0.2174,1.12373752972789,1.2474182444062,1.41638608305275
"149A_100_TY_4","100_TY",NA,"149A","OE","149A_100_TY",4,7.3393,0.2868,0.2868,0.00514583333333333,48,0.2152,1.18532575341581,1.23780750971083,1.34239130434783
"149A_100_TY_5","100_TY",NA,"149A","OE","149A_100_TY",5,7.14575,0.2862,0.2862,0.005325,48,0.2183,1.22057768515988,1.40362923001471,1.57486136783734
"41_100_TY_1","100_TY",NA,"41","CC","41_100_TY",1,7.06705,0.2915,0.2915,0.00532083333333333,48,0.2084,1.13550621013224,1.29786286731968,1.51213735938425
"41_100_TY_2","100_TY",NA,"41","CC","41_100_TY",2,6.67245,0.2788,0.2788,0.00522916666666667,48,0.2009,1.08029628430341,1.24021352313167,1.4913844325609
"41_100_TY_3","100_TY",NA,"41","CC","41_100_TY",3,6.76325,0.2867,0.2867,0.00531041666666667,48,0.1995,1.00539620481793,1.18471074380165,1.3951833607006
"41_100_TY_4","100_TY",NA,"41","CC","41_100_TY",4,6.8972,0.286,0.286,0.00522291666666667,48,0.2023,0.965129295869248,1.10127069695803,1.31256544502618
"41_100_TY_5","100_TY",NA,"41","CC","41_100_TY",5,7.0289,0.2736,0.2736,0.00488541666666667,48,0.2087,1.0758081302804,1.1462086300796,1.37456037514654
"126B_100_TY_1","100_TY",NA,"126B","OC","126B_100_TY",1,6.238,0.2621,0.2621,0.00505,48,0.1985,0.891888220870299,1.0799340749897,1.26579634464752
"126B_100_TY_2","100_TY",NA,"126B","OC","126B_100_TY",2,6.2953,0.2644,0.2644,0.00508333333333333,48,0.201,1.05988618762206,1.0957314546208,1.14178755264389
"126B_100_TY_3","100_TY",NA,"126B","OC","126B_100_TY",3,6.29120000000001,0.2641,0.2641,0.005025,48,0.1945,1.09795024389393,1.11906779661017,1.15131264916468
"126B_100_TY_4","100_TY",NA,"126B","OC","126B_100_TY",4,6.14395,0.2631,0.2631,0.00504375,48,0.1921,1.04610813617905,1.09625,1.15176022835395
"126B_100_TY_5","100_TY",NA,"126B","OC","126B_100_TY",5,6.36215,0.269,0.269,0.00508125,48,0.2022,1.08156604078302,1.13502109704641,1.18054211035818
"53_100_TY_1","100_TY",NA,"53","CC","53_100_TY",1,7.19605,0.3216,0.3216,0.00608125,48,0.2158,1.0092070571076,1.30519480519481,1.45079522862823
"53_100_TY_2","100_TY",NA,"53","CC","53_100_TY",2,6.9816,0.3149,0.3149,0.00603541666666667,48,0.2122,0.988678123074964,1.29163248564397,1.48032703117016
"53_100_TY_3","100_TY",NA,"53","CC","53_100_TY",3,7.25615,0.3222,0.3222,0.00610625,48,0.2246,1.03700025009825,1.35151006711409,1.51472868217054
"53_100_TY_4","100_TY",NA,"53","CC","53_100_TY",4,7.3593,0.3245,0.3245,0.00610625,48,0.2242,0.975148571920735,1.25434866640897,1.3930608365019
"53_100_TY_5","100_TY",NA,"53","CC","53_100_TY",5,7.7745,0.3258,0.3258,0.00601041666666667,48,0.2325,1.04285014855702,1.26918582002337,1.37577491654745
"135B_100_TY_1","100_TY",NA,"135B","OE","135B_100_TY",1,8.0616,0.315,0.315,0.00575,48,0.2382,1.39292101148154,1.31195335276968,1.31868131868132
"135B_100_TY_2","100_TY",NA,"135B","OE","135B_100_TY",2,8.48825,0.3217,0.3217,0.00562291666666667,48,0.2467,1.41796966355952,1.3211498973306,1.28646329837941
"135B_100_TY_3","100_TY",NA,"135B","OE","135B_100_TY",3,7.6712,0.3109,0.3109,0.00570625,48,0.2236,1.27200371426676,1.26023510336441,1.28651949271959
"135B_100_TY_4","100_TY",NA,"135B","OE","135B_100_TY",4,8.29175000000001,0.3173,0.3173,0.00557291666666667,48,0.2385,1.26760940187273,1.22556971803785,1.22988505747126
"135B_100_TY_5","100_TY",NA,"135B","OE","135B_100_TY",5,8.02305,0.3194,0.3194,0.00573958333333333,48,0.232,1.38009598513779,1.32311516155758,1.3001415762152
"57_100_TY_1","100_TY",NA,"57","CC","57_100_TY",1,7.26815,0.3036,0.3036,0.0055625,48,0.2255,1.27494627899838,1.31770833333333,1.39498432601881
"57_100_TY_2","100_TY",NA,"57","CC","57_100_TY",2,6.9256,0.2891,0.2891,0.00522708333333333,48,0.2108,1.80808542300312,1.6168903803132,1.55741775294848
"57_100_TY_3","100_TY",NA,"57","CC","57_100_TY",3,6.36185,0.2739,0.2739,0.00506041666666667,48,0.1991,1.12286105105238,1.24274047186933,1.34719911259013
"57_100_TY_4","100_TY",NA,"57","CC","57_100_TY",4,6.70725,0.2902,0.2902,0.00549791666666667,48,0.2132,1.13241712322407,1.24176294394523,1.34642857142857
"57_100_TY_5","100_TY",NA,"57","CC","57_100_TY",5,6.9451,0.2958,0.2958,0.00561666666666667,48,0.2152,1.00949155498706,1.16640378548896,1.35477386934673
"135A_100_TY_1","100_TY",NA,"135A","OE","135A_100_TY",1,8.34005,0.2979,0.2979,0.00494791666666667,24,0.0642,1.4177248542336,1.51680244399185,1.48716343143394
"135A_100_TY_2","100_TY",NA,"135A","OE","135A_100_TY",2,8.29405,0.2974,0.2974,0.00501875,24,0.061,1.43913971404775,1.48848848848849,1.5974801061008
"135A_100_TY_3","100_TY",NA,"135A","OE","135A_100_TY",3,7.4926,0.2876,0.2876,0.00502083333333333,48,0.221,1.31887591202331,1.48553719008264,1.63279132791328
"135A_100_TY_4","100_TY",NA,"135A","OE","135A_100_TY",4,7.67145,0.2926,0.2926,0.00506458333333333,48,0.224,1.43355414988741,1.39399714149595,1.41501746216531
"135A_100_TY_5","100_TY",NA,"135A","OE","135A_100_TY",5,7.14835,0.2805,0.2805,0.00501666666666667,48,0.2146,1.22767983650056,1.35115606936416,1.59575878064944
"77_100_TY_1","100_TY",NA,"77","CC","77_100_TY",1,6.95990000000001,0.3114,0.3114,0.00596458333333333,48,0.2147,0.938788998745568,1.17865253595761,1.38376027066216
"77_100_TY_2","100_TY",NA,"77","CC","77_100_TY",2,7.1387,0.3098,0.3098,0.00585833333333333,48,0.2232,0.94676463176881,1.17126654064272,1.34096328087744
"77_100_TY_3","100_TY",NA,"77","CC","77_100_TY",3,7.2973,0.3128,0.3128,0.0058875,48,0.2264,0.985961735934712,1.19207317073171,1.37117903930131
"77_100_TY_4","100_TY",NA,"77","CC","77_100_TY",4,7.42575,0.3139,0.3139,0.00586041666666667,48,0.2201,0.977393879565647,1.16561455625696,1.30898092135877
"77_100_TY_5","100_TY",NA,"77","CC","77_100_TY",5,7.9285,0.3247,0.3247,0.00597708333333333,48,0.2358,0.904764893501694,1.17858439201452,1.30944774075764
"159_100_TY_1","100_TY",NA,"159","OE","159_100_TY",1,9.1158,0.3178,0.3178,0.00515416666666667,24,0.075,1.25040121805687,1.33585540142917,1.2532928064843
"159_100_TY_2","100_TY",NA,"159","OE","159_100_TY",2,8.8552,0.3125,0.3125,0.00510416666666667,24,0.0692,1.18403230443183,1.26518218623482,1.27870563674322
"159_100_TY_3","100_TY",NA,"159","OE","159_100_TY",3,8.60105,0.3128,0.3128,0.0052125,48,0.2289,1.13828470848249,1.23783142065691,1.31063383970665
"159_100_TY_4","100_TY",NA,"159","OE","159_100_TY",4,8.14705,0.3004,0.3004,0.0051,48,0.2247,1.09606484595722,1.2377420683972,1.2776617954071
"159_100_TY_5","100_TY",NA,"159","OE","159_100_TY",5,7.9149,0.3029,0.3029,0.0053,48,0.2191,1.07078933661632,1.23834832379395,1.33543307086614
"74_100_TY_1","100_TY",NA,"74","CC","74_100_TY",1,7.75485,0.3336,0.3336,0.00616458333333333,48,0.2238,1.09700669109222,1.16765838291915,1.26995708154506
"74_100_TY_2","100_TY",NA,"74","CC","74_100_TY",2,7.06175,0.3196,0.3196,0.00603333333333333,48,0.2185,0.991101941713508,1.13012729844413,1.28653931585962
"74_100_TY_3","100_TY",NA,"74","CC","74_100_TY",3,7.5215,0.3292,0.3292,0.00610208333333333,48,0.2239,1.03032835166642,1.1595632264882,1.29831560283688
"74_100_TY_4","100_TY",NA,"74","CC","74_100_TY",4,7.6554,0.33,0.33,0.00610208333333333,48,0.2241,1.06085570760436,1.13989637305699,1.24373673036093
"74_100_TY_5","100_TY",NA,"74","CC","74_100_TY",5,9.89135,0.3592,0.3592,0.00585208333333333,24,0.082,1.22340478163535,1.23351648351648,1.31939877876938
"168A_100_TY_1","100_TY",NA,"168A","OE","168A_100_TY",1,8.481,0.2983,0.2983,0.00486875,48,0.2336,2.63716786641583,2.22778192681105,1.95075125208681
"168A_100_TY_2","100_TY",NA,"168A","OE","168A_100_TY",2,8.2563,0.3006,0.3006,0.00487083333333333,48,0.2226,2.66327962452219,2.2929061784897,1.98303647158609
"168A_100_TY_3","100_TY",NA,"168A","OE","168A_100_TY",3,8.80859999999999,0.3095,0.3095,0.00505833333333333,24,0.0706,2.57418393290277,2.26573938506589,1.98528209321341
"168A_100_TY_4","100_TY",NA,"168A","OE","168A_100_TY",4,8.29605,0.2977,0.2977,0.00490208333333333,48,0.2285,2.5568003205227,2.35150078988942,2.03722943722944
"168A_100_TY_5","100_TY",NA,"168A","OE","168A_100_TY",5,7.9203,0.2927,0.2927,0.00490416666666667,48,0.2167,2.3870705244123,2.29388714733542,2.03457216940363
"67_100_TY_1","100_TY",NA,"67","CC","67_100_TY",1,8.20165,0.331,0.331,0.0059625,48,0.2379,1.31181273641867,1.27063339731286,1.31707317073171
"67_100_TY_2","100_TY",NA,"67","CC","67_100_TY",2,7.86045,0.3336,0.3336,0.00614375,48,0.234,1.31093803420585,1.3940660259089,1.53753910323253
"67_100_TY_3","100_TY",NA,"67","CC","67_100_TY",3,8.103,0.3354,0.3354,0.00612083333333333,48,0.24,1.32488554610857,1.3893951946976,1.5398322851153
"67_100_TY_4","100_TY",NA,"67","CC","67_100_TY",4,8.6224,0.3323,0.3323,0.00574166666666667,48,0.2507,1.32854655552303,1.31551860649248,1.38492462311558
