time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind,comp_ind_50TY
0,137B,OA,122A,OC,0.0973,0,,
0,137B,OA,122A,OC,0.0984,0,,
0,137B,OA,122A,OC,0.098,0,,
0,137B,OA,122A,OC,0.0983,0,,
0,137B,OA,149A,OE,0.0991,0,,
0,137B,OA,149A,OE,0.1007,0,,
0,137B,OA,149A,OE,0.1017,0,,
0,137B,OA,149A,OE,0.1012,0,,
0,137B,OA,149A,OE,0.1015,0,,
0,137B,OA,41,CC,0.1016,0,,
0,137B,OA,41,CC,0.1027,0,,
0,137B,OA,41,CC,0.1061,0,,
0,137B,OA,41,CC,0.1056,0,,
0,137B,OA,41,CC,0.104,0,,
0,137B,OA,126B,OC,0.1011,0,,
0,137B,OA,126B,OC,0.1016,0,,
0,137B,OA,126B,OC,0.0999,0,,
0,137B,OA,126B,OC,0.1005,0,,
0,137B,OA,126B,OC,0.0983,0,,
0,137B,OA,53,CC,0.0974,0,,
0,137B,OA,53,CC,0.0994,0,,
0,137B,OA,53,CC,0.0989,0,,
0,137B,OA,53,CC,0.0996,0,,
0,137B,OA,53,CC,0.0981,0,,
0,137B,OA,135B,OE,0.098,0,,
0,137B,OA,135B,OE,0.0977,0,,
0,137B,OA,135B,OE,0.0983,0,,
0,137B,OA,135B,OE,0.0974,0,,
0,137B,OA,135B,OE,0.0977,0,,
0,137B,OA,57,CC,0.0969,0,,
0,137B,OA,57,CC,0.0976,0,,
0,137B,OA,57,CC,0.0979,0,,
0,137B,OA,57,CC,0.0976,0,,
0,137B,OA,57,CC,0.0981,0,,
0,137B,OA,135A,OE,0.0997,0,,
0,137B,OA,135A,OE,0.0982,0,,
0,137B,OA,135A,OE,0.0983,0,,
0,137B,OA,135A,OE,0.0986,0,,
0,137B,OA,135A,OE,0.097,0,,
0,137B,OA,77,CC,0.0969,0,,
0,137B,OA,77,CC,0.0972,0,,
0,137B,OA,77,CC,0.0977,0,,
0,137B,OA,77,CC,0.0979,0,,
0,137B,OA,77,CC,0.0983,0,,
0,137B,OA,159,OE,0.1006,0,,
0,137B,OA,159,OE,0.1008,0,,
0,137B,OA,159,OE,0.1006,0,,
0,137B,OA,159,OE,0.0999,0,,
0,137B,OA,159,OE,0.0972,0,,
0,137B,OA,74,CC,0.097,0,,
0,137B,OA,74,CC,0.0985,0,,
0,137B,OA,74,CC,0.0983,0,,
0,137B,OA,74,CC,0.0985,0,,
0,137B,OA,74,CC,0.0983,0,,
0,137B,OA,168A,OE,0.1003,0,,
0,137B,OA,168A,OE,0.0999,0,,
0,137B,OA,168A,OE,0.1008,0,,
0,137B,OA,168A,OE,0.0981,0,,
0,137B,OA,168A,OE,0.098,0,,
0,137B,OA,67,CC,0.0981,0,,
0,137B,OA,67,CC,0.0982,0,,
0,137B,OA,67,CC,0.0985,0,,
0,137B,OA,67,CC,0.0989,0,,
0,137B,OA,67,CC,0.0988,0,,
0,152A,OA,152B,OA,0.1163,0,,
0,152A,OA,152B,OA,0.1165,0,,
0,152A,OA,152B,OA,0.1197,0,,
0,152A,OA,152B,OA,0.1131,0,,
0,152A,OA,152B,OA,0.1145,0,,
0,152A,OA,147A,OC,0.1134,0,,
0,152A,OA,147A,OC,0.1158,0,,
0,152A,OA,147A,OC,0.1126,0,,
0,152A,OA,147A,OC,0.1171,0,,
0,152A,OA,147A,OC,0.1131,0,,
0,152A,OA,137B,OA,0.1132,0,,
0,152A,OA,137B,OA,0.1202,0,,
0,152A,OA,137B,OA,0.1088,0,,
0,152A,OA,137B,OA,0.1112,0,,
0,152A,OA,137B,OA,0.1092,0,,
0,152A,OA,158,OC,0.1069,0,,
0,152A,OA,158,OC,0.1127,0,,
0,152A,OA,158,OC,0.1097,0,,
0,152A,OA,158,OC,0.1134,0,,
0,152A,OA,158,OC,0.1116,0,,
0,152A,OA,152A,OA,0.1154,0,,
0,152A,OA,152A,OA,0.1153,0,,
0,152A,OA,152A,OA,0.1114,0,,
0,152A,OA,152A,OA,0.1116,0,,
0,152A,OA,152A,OA,0.1107,0,,
0,152A,OA,170C,OC,0.1076,0,,
0,152A,OA,170C,OC,0.1075,0,,
0,152A,OA,170C,OC,0.1066,0,,
0,152A,OA,170C,OC,0.1058,0,,
0,152A,OA,170C,OC,0.106,0,,
0,152A,OA,145B,OA,0.1145,0,,
0,152A,OA,145B,OA,0.1102,0,,
0,152A,OA,145B,OA,0.1107,0,,
0,152A,OA,145B,OA,0.1071,0,,
0,152A,OA,145B,OA,0.1074,0,,
0,152A,OA,157B,OC,0.1037,0,,
0,152A,OA,157B,OC,0.1035,0,,
0,152A,OA,157B,OC,0.1102,0,,
0,152A,OA,157B,OC,0.0999,0,,
0,152A,OA,157B,OC,0.097,0,,
0,152A,OA,154C,OA,0.1103,0,,
0,152A,OA,154C,OA,0.1097,0,,
0,152A,OA,154C,OA,0.1063,0,,
0,152A,OA,154C,OA,0.1066,0,,
0,152A,OA,154C,OA,0.1026,0,,
0,152A,OA,165A,OC,0.1017,0,,
0,152A,OA,165A,OC,0.1018,0,,
0,152A,OA,165A,OC,0.0979,0,,
0,152A,OA,165A,OC,0.0974,0,,
0,152A,OA,165A,OC,0.0974,0,,
0,152A,OA,144A,OA,0.1018,0,,
0,152A,OA,144A,OA,0.1045,0,,
0,152A,OA,144A,OA,0.1009,0,,
0,152A,OA,144A,OA,0.097,0,,
0,152A,OA,144A,OA,0.0968,0,,
0,152A,OA,122A,OC,0.0965,0,,
0,152A,OA,122A,OC,0.0968,0,,
0,152A,OA,122A,OC,0.097,0,,
0,152A,OA,122A,OC,0.0971,0,,
0,152A,OA,122A,OC,0.0971,0,,
0,152A,OA,149A,OE,0.1063,0,,
0,152A,OA,149A,OE,0.1053,0,,
0,152A,OA,149A,OE,0.1066,0,,
0,152A,OA,149A,OE,0.1065,0,,
0,152A,OA,149A,OE,0.1063,0,,
0,152A,OA,41,CC,0.1088,0,,
0,152A,OA,41,CC,0.1075,0,,
0,152A,OA,41,CC,0.1071,0,,
0,152A,OA,41,CC,0.1091,0,,
0,152A,OA,41,CC,0.1073,0,,
0,152A,OA,126B,OC,0.1044,0,,
0,152A,OA,126B,OC,0.1055,0,,
0,152A,OA,126B,OC,0.107,0,,
0,152A,OA,126B,OC,0.1064,0,,
0,152A,OA,126B,OC,0.1058,0,,
0,152A,OA,53,CC,0.1046,0,,
0,152A,OA,53,CC,0.1053,0,,
0,152A,OA,53,CC,0.1067,0,,
0,152A,OA,53,CC,0.105,0,,
0,152A,OA,53,CC,0.1048,0,,
0,152A,OA,135B,OE,0.0995,0,,
0,152A,OA,135B,OE,0.1024,0,,
0,152A,OA,135B,OE,0.1051,0,,
0,152A,OA,135B,OE,0.1035,0,,
0,152A,OA,135B,OE,0.1039,0,,
0,152A,OA,57,CC,0.1031,0,,
0,152A,OA,57,CC,0.1042,0,,
0,152A,OA,57,CC,0.1047,0,,
0,152A,OA,57,CC,0.1039,0,,
0,152A,OA,57,CC,0.1039,0,,
0,152A,OA,135A,OE,0.097,0,,
0,152A,OA,135A,OE,0.1003,0,,
0,152A,OA,135A,OE,0.1007,0,,
0,152A,OA,135A,OE,0.0991,0,,
0,152A,OA,135A,OE,0.0976,0,,
0,152A,OA,77,CC,0.0975,0,,
0,152A,OA,77,CC,0.0973,0,,
0,152A,OA,77,CC,0.0978,0,,
0,152A,OA,77,CC,0.0977,0,,
0,152A,OA,77,CC,0.097,0,,
0,152A,OA,159,OE,0.0973,0,,
0,152A,OA,159,OE,0.0973,0,,
0,152A,OA,159,OE,0.0975,0,,
0,152A,OA,159,OE,0.098,0,,
0,152A,OA,159,OE,0.0965,0,,
0,152A,OA,74,CC,0.0966,0,,
0,152A,OA,74,CC,0.0986,0,,
0,152A,OA,74,CC,0.0976,0,,
0,152A,OA,74,CC,0.0975,0,,
0,152A,OA,74,CC,0.0971,0,,
0,152A,OA,168A,OE,0.0976,0,,
0,152A,OA,168A,OE,0.0974,0,,
0,152A,OA,168A,OE,0.0984,0,,
0,152A,OA,168A,OE,0.0976,0,,
0,152A,OA,168A,OE,0.097,0,,
0,152A,OA,67,CC,0.097,0,,
0,152A,OA,67,CC,0.0986,0,,
0,152A,OA,67,CC,0.0983,0,,
0,152A,OA,67,CC,0.0975,0,,
0,152A,OA,67,CC,0.0977,0,,
0,145B,OA,152B,OA,0.1067,0,,
0,145B,OA,152B,OA,0.1106,0,,
0,145B,OA,152B,OA,0.1171,0,,
