time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind
0,50% TY,50% TY,135A,OE,0.1267,0,
0,50% TY,50% TY,135A,OE,0.126,0,
0,50% TY,50% TY,135A,OE,0.1269,0,
0,50% TY,50% TY,77,CC,0.1266,0,
0,50% TY,50% TY,77,CC,0.1253,0,
0,50% TY,50% TY,77,CC,0.1259,0,
0,50% TY,50% TY,77,CC,0.1261,0,
0,50% TY,50% TY,77,CC,0.1255,0,
0,50% TY,50% TY,159,OE,0.1265,0,
0,50% TY,50% TY,159,OE,0.1278,0,
0,50% TY,50% TY,159,OE,0.127,0,
0,50% TY,50% TY,159,OE,0.1283,0,
0,50% TY,50% TY,159,OE,0.1264,0,
0,50% TY,50% TY,74,CC,0.1234,0,
0,50% TY,50% TY,74,CC,0.1269,0,
0,50% TY,50% TY,74,CC,0.1275,0,
0,50% TY,50% TY,74,CC,0.1245,0,
0,50% TY,50% TY,74,CC,0.1251,0,
0,50% TY,50% TY,168A,OE,0.125,0,
0,50% TY,50% TY,168A,OE,0.1243,0,
0,50% TY,50% TY,168A,OE,0.1256,0,
0,50% TY,50% TY,168A,OE,0.1232,0,
0,50% TY,50% TY,168A,OE,0.1237,0,
0,50% TY,50% TY,67,CC,0.1236,0,
0,50% TY,50% TY,67,CC,0.1256,0,
0,50% TY,50% TY,67,CC,0.1308,0,
0,50% TY,50% TY,67,CC,0.1244,0,
0,50% TY,50% TY,67,CC,0.128,0,
0,152B,OA,152B,OA,0.0974,0,
0,152B,OA,152B,OA,0.0977,0,
0,152B,OA,152B,OA,0.0979,0,
0,152B,OA,152B,OA,0.0979,0,
0,152B,OA,152B,OA,0.0975,0,
0,152B,OA,147A,OC,0.0972,0,
0,152B,OA,147A,OC,0.0975,0,
0,152B,OA,147A,OC,0.0987,0,
0,152B,OA,147A,OC,0.0977,0,
0,152B,OA,147A,OC,0.0991,0,
0,152B,OA,137B,OA,0.0975,0,
0,152B,OA,137B,OA,0.0975,0,
0,152B,OA,137B,OA,0.0973,0,
0,152B,OA,137B,OA,0.0986,0,
0,152B,OA,137B,OA,0.0978,0,
0,152B,OA,158,OC,0.0965,0,
0,152B,OA,158,OC,0.0987,0,
0,152B,OA,158,OC,0.0975,0,
0,152B,OA,158,OC,0.0971,0,
0,152B,OA,158,OC,0.1052,0,
0,152B,OA,152A,OA,0.0985,0,
0,152B,OA,152A,OA,0.0992,0,
0,152B,OA,152A,OA,0.099,0,
0,152B,OA,152A,OA,0.0978,0,
0,152B,OA,152A,OA,0.0974,0,
0,152B,OA,170C,OC,0.0962,0,
0,152B,OA,170C,OC,0.0974,0,
0,152B,OA,170C,OC,0.0975,0,
0,152B,OA,170C,OC,0.0972,0,
0,152B,OA,170C,OC,0.0973,0,
0,152B,OA,145B,OA,0.0968,0,
0,152B,OA,145B,OA,0.0974,0,
0,152B,OA,145B,OA,0.0969,0,
0,152B,OA,145B,OA,0.0972,0,
0,152B,OA,145B,OA,0.0964,0,
0,152B,OA,157B,OC,0.0969,0,
0,152B,OA,157B,OC,0.0971,0,
0,152B,OA,157B,OC,0.0973,0,
0,152B,OA,157B,OC,0.0969,0,
0,152B,OA,157B,OC,0.0968,0,
0,152B,OA,154C,OA,0.098,0,
0,152B,OA,154C,OA,0.0987,0,
0,152B,OA,154C,OA,0.098,0,
0,152B,OA,154C,OA,0.0977,0,
0,152B,OA,154C,OA,0.097,0,
0,152B,OA,165A,OC,0.0968,0,
0,152B,OA,165A,OC,0.099,0,
0,152B,OA,165A,OC,0.0978,0,
0,152B,OA,165A,OC,0.0982,0,
0,152B,OA,165A,OC,0.0972,0,
0,152B,OA,144A,OA,0.0975,0,
0,152B,OA,144A,OA,0.0974,0,
0,152B,OA,144A,OA,0.0992,0,
0,152B,OA,144A,OA,0.0972,0,
0,152B,OA,144A,OA,0.0971,0,
0,152B,OA,122A,OC,0.097,0,
0,152B,OA,122A,OC,0.0984,0,
0,152B,OA,122A,OC,0.0982,0,
0,152B,OA,122A,OC,0.0975,0,
0,152B,OA,122A,OC,0.0983,0,
0,152B,OA,149A,OE,0.1011,0,
0,152B,OA,149A,OE,0.1036,0,
0,152B,OA,149A,OE,0.1033,0,
0,152B,OA,149A,OE,0.104,0,
0,152B,OA,149A,OE,0.1042,0,
0,152B,OA,41,CC,0.1047,0,
0,152B,OA,41,CC,0.1075,0,
0,152B,OA,41,CC,0.1079,0,
0,152B,OA,41,CC,0.1074,0,
0,152B,OA,41,CC,0.1056,0,
0,152B,OA,126B,OC,0.1021,0,
0,152B,OA,126B,OC,0.1013,0,
0,152B,OA,126B,OC,0.1001,0,
0,152B,OA,126B,OC,0.1018,0,
0,152B,OA,126B,OC,0.1001,0,
0,152B,OA,53,CC,0.0999,0,
0,152B,OA,53,CC,0.101,0,
0,152B,OA,53,CC,0.102,0,
0,152B,OA,53,CC,0.1041,0,
0,152B,OA,53,CC,0.103,0,
0,152B,OA,135B,OE,0.0971,0,
0,152B,OA,135B,OE,0.0976,0,
0,152B,OA,135B,OE,0.0964,0,
0,152B,OA,135B,OE,0.0972,0,
0,152B,OA,135B,OE,0.0968,0,
0,152B,OA,57,CC,0.0957,0,
0,152B,OA,57,CC,0.0965,0,
0,152B,OA,57,CC,0.0973,0,
0,152B,OA,57,CC,0.0999,0,
0,152B,OA,57,CC,0.1042,0,
0,152B,OA,135A,OE,0.097,0,
0,152B,OA,135A,OE,0.0971,0,
0,152B,OA,135A,OE,0.0973,0,
0,152B,OA,135A,OE,0.0973,0,
0,152B,OA,135A,OE,0.0964,0,
0,152B,OA,77,CC,0.0965,0,
0,152B,OA,77,CC,0.0967,0,
0,152B,OA,77,CC,0.0973,0,
